sItem;sDesc;SECTION
WATESKA35; ESKA - NATURAL SPRING WATER / 35 X 500ML (DEPOSIT/ECOFEE 3.85$ INCLUDED);SEC
KRAFTBOX3;#3 TAKEOUT KRAFT BOX (200UN);SEC
BAGP12X7;#65 12X7X17 KRAFT PAPER BAGS (500UN);SEC
SVKPBAGL;(M490) SVKBAR PAPER BAGS 13X7X13;SEC
NORIYMYJUN;*JUN* ROASTED NORI SEAWEED (FULL SHEET) / 10 X 50;SEC
PIZB10;10 INCH BROWN PIZZA BOX (50UN);SEC
BAGPH10X5;10X5X13 KRAFT PAPER BAGS WITH HANDLE (250UN);SEC
PIZB12;12 INCH BROWN PIZZA BOX (50UN);SEC
BAGP12;12LBS KRAFT PAPER BAGS (500UN);SEC
BAGPH13X7;13X7X13 KRAFT PAPER BAGS WITH HANDLE (250UN);SEC
PIZB14;14 INCH BROWN PIZZA BOX (50UN);SEC
BAGP14;14LBS KRAFT PAPER BAGS (500UN);SEC
PIZB16;16 INCH BROWN PIZZA BOX (50UN);SEC
BAGP1;1LB KRAFT PAPER BAGS (1000UN);SEC
BLKNAPKIN;2 PLY BLACK DINNER NAPKIN 1/8  (5X200);SEC
BAGP20;20LBS KRAFT PAPER BAGS (500UN);SEC
BAGP2;2LBS BROWN PAPER BAGS (500UN);SEC
CONTRECT42;42OZ RECTANGLE PLASTIC CONTAINER (150 UN);SEC
TOM5X6;5X6 TOMATOES (25LBS);SEC 2
7UPCAN;7UP - SODA 32X355ML (ECOFEE 0.32 INCLUDED);SEC
7UPCAN0;7UP ZERO 32X355ML (ECOFRAIS 0.32 INCLUS);SEC
PIZB8;8 INCH BROWN PIZZA BOX (50UN);SEC
8.25X4.75PAPERBAG;8.25X4.75X10.5 KRAFT PAPER BAGS WITH HANDLE (250UN);SEC
PLATBAGAS88;9 INCH BAGASSE ROUND PLATTERS (500UN);SEC
BAKESODA;A & H - BAKING SODA (2KG);SEC UNIT
WATAQUAPN;ACQUA PANNA - GLASS BOTTLE TAP WATER (12X750ML);SEC
YEAST;ACTIVE DRY YEAST (907G);SEC UNIT
BAKROS;ADM BAKERS ROSES - ALL PURPOSE FLOUR (20KG);SEC
