Damen Service Alimentaire (Division Ferro Poisson),,
Price Lists,,
,,
Item No.,Description,Regular CAD
#1TAKEOUT,#1 TAKEOUT KRAFT BOX (200UN),26.9500 
#8TAKEOUT,#8 TAKEOUT KRAFT BOX (200UN),35.9500 
(DO NOT USE) FLT-004,FROZEN HALIBUT PORTIONS QC MARQUISE,0.0000 
(DO NOT USE) OBC-033F,ARCTIC CHAR - FRESH - FILLETS (10 LB/CS),0.0000 
0001-MSG,MESSAGE,0.0000 
1102,KW1-1102 / RECTANGULAR CLEAR PLASTIC SUSHI CONTAINERS / 400UN,72.0000 
1103,KW1-1103 / RECTANGULAR CLEAR PLASTIC SUSHI CONTAINERS / 400UN,70.0500 
1105,KW1-1105 / RECTANGULAR CLEAR PLASTIC SUSHI CONTAINERS / 400UN,82.5000 
1107,KW1-1107 / RECTANGULAR CLEAR PLASTIC SUSHI CONTAINERS / 400UN,84.5000 
1109,KW1-1109 / RECTANGULAR CLEAR PLASTIC SUSHI CONTAINERS / 400UN,102.0000 
1111,KW1-1111 / RECTANGULAR CLEAR PLASTIC SUSHI CONTAINERS / 200UN,85.5000 
1200FF,(4570) DARK RED NORLAND 7/16,40.0500 
16OZBROWN,16 OZ BROWN RIPPLE PAPER CUPS / 5 X 100UN,72.9000 
16OZWHITECUPS,16 OZ TASSE PAPIER BLANC / WHITE PAPER CUPS / 20X50UN,90.7000 
2106,SM1-2106 / 9 INCH ROUND CLEAR PLASTIC SUSHI TRAY / 100UN,78.0500 
2108,SM1-2108 / 11 INCH ROUND CLEAR PLASTIC SUSHI TRAY / 100UN,91.2000 
2109,SM1-2109 / 13 INCH ROUND CLEAR PLASTIC SUSHI TRAY / 100UN,97.5000 
2110,SM1-2110 / 15 INCH ROUND CLEAR PLASTIC SUSHI TRAY / 100UN,127.6500 
24OZDELI,24 OZ DELI CONTAINER WITH LIDS / 240UN,35.0500 
3114,KW1-3114 / RECTANGULAR CLEAR PLASTIC SUSHI CONTAINERS / 200UN,121.4500 
32KRAFTB,KRAFT REGULAR 34 OZ  (946 ML) BOWL (300 UNITS),46.9500 
3BERRYMIX,FROZEN 3 WAY BERRY MIX (5 X 1KG),37.1000 
3WAYMXPCS,FROZEN 3 WAY MIX FRUITS (1KG),11.5000 
7/16 FRESHCUT,CAVENDISH - 7/16 SKIN SEA SALT,46.5000 
7/16DARKRED,(4570) DARK RED NORLAND 7/16 FRENCH FRIES,45.0500 
7/16RED,GEMME - FRESH 7/16 FRIES (10KG),10.7500 
7UPCAN,7UP - SODA 32X355ML (ECOFEE 0.64 INCLUDED),21.6000 
