supplier,order_book_product,order_book_pack,match,item_code,catalogue_description,candidates
Wismettac,WHITE MARINATED GINGER SUSHI,25 LBS,similar — review,,,GIN-001 = PINK MARINATED GINGER SUSHI (1X25LBS) CHINE | SUSHIGWHITE = WHITE MARINATED GINGER SUSHI (25LBS)
Wismettac,EDAMAME SKINLESS (SHELLED),20 X 400 G,no match,,,
Wismettac,SHIRAKIKU BROWN MEDIUM GRAIN RICE,15 LBS,similar — review,,,RICEBROWN = SHIRAKIKU - BROWN MEDIUM GRAIN RICE /  15LBS
Wismettac,TEMPURA BATTER MIX FLOUR,40 LBS,similar — review,,,MRKMIX = MR K MIX | FLOURTEMPBM = TEMPURA BATTER MIX FLOUR (40LBS)
Wismettac,RED TOBIKO - 20 X 500 GR,,similar — review,,,CAV-010 = RED TOBIKO - 20 X 500 GR - WISMETTAC
Wismettac,ORANGE TOBIKO - 20 X 500GR,,similar — review,,,CAV-015 = ORANGE TOBIKO - 20 X 500GR - WISMETTAC | CAV-015/UNIT = ORANGE TOBIKO - 1 X 500GR - WISMETTAC | OR88 = ORANGE (88)
Wismettac,ORANGE MASAGO - 12 X 500GR,,similar — review,,,OR88 = ORANGE (88) | RMS-002 = ORANGE MASAGO - 12 X 500GR - SHIRAIKU | RMS-002/UNIT = ORANGE MASAGO - 1 X 500GR - SHIRAKIKU
Wismettac,MASAGO RED 1 X 500GR,,similar — review,,,RMS-001 = RED MASAGO - 12 X 500GR - SHIRAKIKU | RMS-001/UNIT = MASAGO RED 1 X 500GR - SHIRAKIKU
Wismettac,FROZEN PORK SHOULDER CHASHU (AV WT - 12LBS),,similar — review,,,CHASHOULD = FROZEN PORK SHOULDER CHASHU - SHIRAKIKU -  (AV WT - 12LBS)
Wismettac,GROUND TUNA,10 X 1 LB,similar — review,,,THO-011 = GROUND TUNA - (15 X 1 LB) - SEA DELIGHT | THO-012 = GROUND TUNA - (10 X 1 LB) - SHIRAKIKU
Transhing,TS - SQUARE RICE PAPER 22CM,40 X 400G,exact (name + pack),PAPERSQUARERC22TS,TS - SQUARE RICE PAPER  22CM  / 40 X 400G,RICEPAP22 = ROSE BRAND - (M) ROUND RICE PAPER 22CM (44X400G)
Transhing,ERAWAN - RICE STICKS MEDIUM,30 X 454G,exact (name + pack),RICESTICKM,ERAWAN - RICE STICKS MEDIUM /  30 X 454G,RICESTICKS = ERAWAN - RICE STICKS SMALL /  30 X 454G | RICESTICKXL = ERAWAN - RICE STICKS *XL* (30X454G)
Transhing,YAMADA - NORI GOLD *HALF* SHEET BIG BOX,4 X 1000UN,exact (name + pack),NORIGHALF,YAMADA - NORI GOLD *HALF* SHEET BIG BOX / 4 X 1000UN,NORIFULL = NORI GOLD FULL SHEET (4000UN) BIG BOX | NORIGHALFUNIT = YAMADA - NORI GOLD *HALF* SHEET SMALL CASE (1000UN) | CLEMHALF = HALF BIG BOX CLEMENTINES
