Supplier,Contact,Email,Product,Pack size,Cost,Sell,Margin %,Cost set on
Fra-Di,Mario,INFO@FRA-DI.COM,STANISLAUS - 7/11 UNPEELED GROUND TOMATOES,6 X 2.84L,,,,
Fra-Di,Mario,INFO@FRA-DI.COM,STANISLAUS - VALOROSO / WHOLE PEELED PEAR TOMATOES,6 X 2.84L,,,,
JFC,Miyoko,,SANGARIA RAMUNE MELON,18X200ML,,,,
JFC,Miyoko,,SANGARIA RAMUNE LYCHEE,18X200ML,,,,
JFC,Miyoko,,SANGARIA RAMUNE ORIGINAL,18X200ML,,,,
JFC,Miyoko,,SOYA SAUCE GLUTEN FREE,18.9L,,,,
JFC,Miyoko,,KIKKOMAN - MIRIN KOTTERIN,18.9L,,,,
JFC,Miyoko,,VINEGAR SD-51,15L,,,,
JFC,Miyoko,,VINEGAR MD-43,15L,,,,
JFC,Miyoko,,VINEGAR FUJI SEASONING,15L,,,,
JFC,Miyoko,,MARUKAN - SUSHI RICE VINEGAR,3.78L,,,,
JFC,Miyoko,,PANKO BREAD CRUMBS,9KG,,,,
JFC,Miyoko,,ATSUYAKI TAMAGO,8 X 500G,,,,
L'Artisan Du Canape,Youssef,,MINI CONE 78MM,140 UNIT,,,,
L'Artisan Du Canape,Youssef,,MINI ROUND TARTELET SALTED 38MM,240 UNITS,,,,
L'Artisan Du Canape,Youssef,,ROUND MINI PRESTIGE TART,245 UNIT,,,,
LordFord,,,WAIWAI - RICE VERMICELLI,24 X 500G,,,,
LordFord,,,S5 CLEAR PLASTIC BAGS,1000UN,,,,
LordFord,,,FOCO - COCONUT DRINK,24X350ML,,,,
LordFord,,,FOCO - LYCHEE JUICE,24X350ML,,,,
LordFord,,,FOCO - MANGO NECTAR,24X350ML,,,,
LordFord,,,DOLL SPRING ROLL PASTRY 6X6INCH,30X200G,,,,
LordFord,,,DOLL SPRING ROLL PASTRY 8.5X8.5INCH,30X400G,,,,
LordFord,,,FRIED GARLIC,24 X 454G,,,,
LordFord,,,FRESH KIM CHI,10KG,,,,
LordFord,,,ERAWAN - WHITE GLUTINOUS RICE FLOUR,30 X 400G,,,,
Mega Importing,Marco,marco@megaimporting.com,ROSSO - WHOLE PEELED TOMATOES,6 X 100OZ,,,,
Transhing,Dandan,dandan@transhing.com,TS - SQUARE RICE PAPER 22CM,40 X 400G,,,,
Transhing,Dandan,dandan@transhing.com,ERAWAN - RICE STICKS MEDIUM,30 X 454G,,,,
Transhing,Dandan,dandan@transhing.com,YAMADA - NORI GOLD *HALF* SHEET BIG BOX,4 X 1000UN,,,,
Transhing,Dandan,dandan@transhing.com,NORI GOLD FULL SHEET BIG BOX,4000UN,,,,
Transhing,Dandan,dandan@transhing.com,BLACK ROASTED SESAME SEEDS FULL BOX,12 X 1KG,,,,
Transhing,Dandan,dandan@transhing.com,WHITE ROASTED SESAME SEEDS FULL BOX,10 X 1KG,,,,
Transhing,Dandan,dandan@transhing.com,HUY FONG - SAMBAL OELEK,"3 X 3,5L",,,,
Transhing,Dandan,dandan@transhing.com,SQUID BRAND - FISH SAUCE,3 X 4500ML,,,,
Transhing,Dandan,dandan@transhing.com,OYSTER SAUCE PANDA,6 X 5LBS,,,,
Transhing,Dandan,dandan@transhing.com,HOISIN SAUCE,6 X 5LBS,,,,
Transhing,Dandan,dandan@transhing.com,GOBERGE - SURIMI IMITATION CRAB STICKS - 9 CM,20 X 500G,,,,
Transhing,Dandan,dandan@transhing.com,GOLDEN SWALLOW - DONGGUAN RICE VERMICELLI,50 X 400G,,,,
Transhing,Dandan,dandan@transhing.com,FRIED TEMPURA TENKTASU,6kg,,,,
VIEDERA,,,SMALL NITRIL BLACK GLOVES,,,,,
VIEDERA,,,MEDIUM NITRIL BLACK GLOVES,,,,,
VIEDERA,,,LARGE NITRIL BLACK GLOVES,,,,,
VIEDERA,,,XL NITRIL BLACK GLOVES,,,,,
VIEDERA,,,SMALL VINYL CLEAR GLOVES,,,,,
VIEDERA,,,MEDIUM VINYL CLEAR GLOVES,,,,,
VIEDERA,,,LARGE VINYL CLEAR GLOVES,,,,,
VIEDERA,,,XLARGE VINYL CLEAR GLOVES,,,,,
VIEDERA,,,POLYETHYLENE GLOVES / SMALL,,,,,
VIEDERA,,,POLYETHYLENE GLOVES / MEDIUM,,,,,
VIEDERA,,,POLYETHYLENE GLOVES / LARGE,,,,,
VIEDERA,,,POLYETHYLENE GLOVES / X-LARGE,,,,,
VIEDERA,,,BLACK GARBAGE BAG 26X36,,,,,
VIEDERA,,,BLACK GARBAGE BAGS 22X24,,,,,
VIEDERA,,,BLACK GARBAGE BAGS 42X48,,,,,
VIEDERA,,,EXTRA STRONG BLACK GARBAGE BAGS 35X50,,,,,
Wismettac,Miyoko,,WHITE MARINATED GINGER SUSHI,25 LBS,,,,
Wismettac,Miyoko,,EDAMAME SKINLESS (SHELLED),20 X 400 G,,,,
Wismettac,Miyoko,,SHIRAKIKU BROWN MEDIUM GRAIN RICE,15 LBS,,,,
Wismettac,Miyoko,,TEMPURA BATTER MIX FLOUR,40 LBS,,,,
Wismettac,Miyoko,,RED TOBIKO - 20 X 500 GR,,,,,
Wismettac,Miyoko,,ORANGE TOBIKO - 20 X 500GR,,,,,
Wismettac,Miyoko,,ORANGE MASAGO - 12 X 500GR,,,,,
Wismettac,Miyoko,,MASAGO RED 1 X 500GR,,,,,
Wismettac,Miyoko,,FROZEN PORK SHOULDER CHASHU (AV WT - 12LBS),,,,,
Wismettac,Miyoko,,GROUND TUNA,10 X 1 LB,,,,
